date,sp,dividend,earnings,cpi,longInterestRate,realPrice,realDividend,realEarnings,PE
1997-01-01,766.22,14.95,39.23,159.1,6.58,1158.01,22.6,59.29,28.33
1997-02-01,798.39,15.01,39.74,159.6,6.42,1202.85,22.61,59.87,29.27
1997-03-01,792.16,15.06,40.24,160.0,6.69,1190.48,22.63,60.47,28.8
1997-04-01,763.93,15.09,40.34,160.2,6.89,1146.62,22.65,60.55,27.59
1997-05-01,833.09,15.13,40.45,160.1,6.71,1251.2,22.72,60.75,29.93
1997-06-01,876.29,15.16,40.55,160.3,6.49,1314.44,22.74,60.83,31.26
1997-07-01,925.29,15.22,40.58,160.5,6.22,1386.21,22.8,60.79,32.77
1997-08-01,927.24,15.27,40.61,160.8,6.3,1386.54,22.84,60.73,32.59
1997-09-01,937.02,15.33,40.64,161.2,6.21,1397.69,22.87,60.62,32.67
1997-10-01,951.16,15.39,40.33,161.6,6.03,1415.27,22.89,60.01,32.9
1997-11-01,938.92,15.44,40.03,161.5,5.88,1397.92,22.99,59.59,32.34
1997-12-01,962.37,15.5,39.72,161.3,5.81,1434.61,23.11,59.21,33.03
1998-01-01,963.36,15.55,39.66,161.6,5.54,1433.42,23.14,59.01,32.86
1998-02-01,1023.74,15.6,39.6,161.9,5.57,1520.44,23.17,58.81,34.71
1998-03-01,1076.83,15.64,39.54,162.2,5.65,1596.33,23.19,58.62,36.3
1998-04-01,1112.2,15.75,39.35,162.5,5.64,1645.72,23.31,58.23,37.28
1998-05-01,1108.42,15.85,39.16,162.8,5.65,1637.11,23.41,57.84,36.96
1998-06-01,1108.39,15.95,38.97,163.0,5.5,1635.06,23.53,57.49,36.8
1998-07-01,1156.58,16.02,38.68,163.2,5.46,1704.05,23.6,56.98,38.26
1998-08-01,1074.62,16.08,38.38,163.4,5.34,1581.36,23.67,56.48,35.42
1998-09-01,1020.64,16.14,38.09,163.6,4.81,1500.09,23.72,55.98,33.53
1998-10-01,1032.47,16.17,37.96,164.0,4.53,1513.77,23.7,55.66,33.77
1998-11-01,1144.43,16.18,37.84,164.0,4.83,1677.93,23.73,55.47,37.37
1998-12-01,1190.05,16.2,37.71,163.9,4.65,1745.88,23.77,55.32,38.82
1999-01-01,1248.77,16.28,37.93,164.3,4.72,1827.56,23.83,55.52,40.58
1999-02-01,1246.58,16.37,38.16,164.5,5.0,1822.14,23.92,55.77,40.4
1999-03-01,1281.66,16.45,38.38,165.0,5.23,1867.74,23.97,55.93,41.36
1999-04-01,1334.76,16.45,39.26,166.2,5.18,1931.08,23.8,56.8,42.7
1999-05-01,1332.07,16.45,40.14,166.2,5.54,1927.19,23.8,58.07,42.56
1999-06-01,1322.55,16.45,41.02,166.2,5.9,1913.41,23.8,59.35,42.18
1999-07-01,1380.99,16.51,42.0,166.7,5.79,1991.97,23.82,60.58,43.83
1999-08-01,1327.49,16.58,42.98,167.1,5.94,1910.22,23.85,61.85,41.93
1999-09-01,1318.17,16.64,43.96,167.9,5.92,1887.77,23.83,62.96,41.32
1999-10-01,1300.01,16.66,45.36,168.2,6.11,1858.44,23.81,64.85,40.55
1999-11-01,1391.0,16.67,46.77,168.3,6.03,1987.33,23.82,66.82,43.21
1999-12-01,1428.68,16.69,48.17,168.3,6.28,2041.17,23.85,68.82,44.2
2000-01-01,1425.59,16.71,49.1,168.8,6.66,2030.72,23.81,69.94,43.77
2000-02-01,1388.87,16.74,50.02,169.8,6.52,1966.76,23.7,70.84,42.19
2000-03-01,1442.21,16.76,50.95,171.2,6.26,2025.59,23.54,71.56,43.22
2000-04-01,1461.36,16.74,51.27,171.3,5.99,2051.29,23.5,71.97,43.53
2000-05-01,1418.48,16.72,51.6,171.5,6.44,1988.78,23.44,72.34,41.97
2000-06-01,1461.96,16.7,51.92,172.4,6.1,2039.04,23.29,72.41,42.78
2000-07-01,1473.0,16.58,52.51,172.8,6.05,2049.68,23.08,73.07,42.76
2000-08-01,1485.46,16.47,53.11,172.8,5.83,2067.02,22.91,73.9,42.87
2000-09-01,1468.05,16.35,53.7,173.7,5.8,2032.21,22.63,74.34,41.9
2000-10-01,1390.14,16.32,52.47,174.0,5.74,1921.04,22.56,72.5,39.37
2000-11-01,1378.04,16.3,51.23,174.1,5.72,1903.23,22.51,70.76,38.78
2000-12-01,1330.93,16.27,50.0,174.0,5.24,1839.22,22.48,69.1,37.27
2001-01-01,1335.63,16.17,48.48,175.1,5.16,1834.12,22.21,66.57,36.98
2001-02-01,1305.75,16.07,46.96,175.8,5.1,1785.95,21.98,64.23,35.83
2001-03-01,1185.85,15.97,45.44,176.2,4.89,1618.27,21.79,62.01,32.33
2001-04-01,1189.84,15.88,42.56,176.9,5.14,1617.29,21.58,57.85,32.17
2001-05-01,1270.37,15.78,39.67,177.7,5.39,1718.98,21.36,53.68,34.07
2001-06-01,1238.71,15.69,36.79,178.0,5.28,1673.31,21.19,49.7,33.07
2001-07-01,1204.45,15.71,33.96,177.5,5.24,1631.62,21.28,46.01,32.16
2001-08-01,1178.5,15.72,31.14,177.5,4.97,1596.46,21.3,42.18,31.4
2001-09-01,1044.64,15.74,28.31,178.3,4.73,1408.78,21.23,38.18,27.67
2001-10-01,1076.59,15.74,27.1,177.7,4.57,1456.77,21.3,36.67,28.58
2001-11-01,1129.68,15.74,25.9,177.4,4.65,1531.19,21.33,35.1,30.01
2001-12-01,1144.93,15.74,24.69,176.7,5.09,1558.01,21.42,33.6,30.5
